Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Dark,Opto
1/8/2018,16:28:07,687,0,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:07,890,1,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:08,78,2,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:08,281,3,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:08,484,4,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:08,687,5,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:08,890,6,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:09,78,7,76,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:09,281,8,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:09,484,9,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:09,687,10,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:09,890,11,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:10,78,12,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:10,280,13,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:10,483,14,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:10,686,15,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:10,889,16,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:11,77,17,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:11,280,18,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:11,483,19,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:11,686,20,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:11,890,21,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:12,77,22,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:12,280,23,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:12,483,24,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:12,687,25,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:12,890,26,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:13,77,27,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:13,280,28,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:13,483,29,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:13,687,30,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:13,890,31,76,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:14,77,32,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:14,280,33,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:14,484,34,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:14,687,35,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:14,890,36,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:15,77,37,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:15,281,38,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:15,484,39,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:15,687,40,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:15,890,41,76,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:16,78,42,76,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:16,281,43,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:16,484,44,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:16,687,45,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:16,890,46,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:17,78,47,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:17,281,48,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:17,484,49,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:17,687,50,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:17,890,51,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:18,78,52,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:18,281,53,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:18,484,54,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:18,687,55,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:18,890,56,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:19,78,57,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:19,281,58,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:19,484,59,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:19,687,60,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:19,890,61,76,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:20,78,62,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:20,281,63,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:20,484,64,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:20,687,65,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:20,891,66,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:21,78,67,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:21,281,68,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:21,484,69,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:21,687,70,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:21,891,71,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:22,78,72,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:22,281,73,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:22,484,74,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:22,688,75,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:22,891,76,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:23,78,77,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:23,281,78,76,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:23,485,79,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:23,688,80,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:23,891,81,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:24,78,82,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:24,282,83,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:24,485,84,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:24,688,85,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:24,891,86,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:25,78,87,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:25,282,88,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:25,485,89,77,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:25,688,90,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:25,891,91,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:26,79,92,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:26,282,93,76,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:26,485,94,76,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:26,688,95,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:26,891,96,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:27,79,97,76,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:27,282,98,77,76,74,74,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:27,485,99,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:27,688,100,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:27,891,101,77,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:28,79,102,76,76,74,75,63,65,62,63,63,64,64,63,0,0
1/8/2018,16:28:28,282,103,76,76,74,75,63,65,62,63,63,64,64,63,0,0
