Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Dark,Opto
1/8/2018,16:28:19,687,60,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:19,890,61,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:20,78,62,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:20,281,63,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:20,484,64,69,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:20,687,65,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:20,891,66,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:21,78,67,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:21,281,68,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:21,484,69,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:21,687,70,68,68,67,68,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:21,891,71,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:22,78,72,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:22,281,73,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:22,484,74,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:22,688,75,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:22,891,76,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:23,78,77,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:23,281,78,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:23,485,79,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:23,688,80,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:23,891,81,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:24,78,82,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:24,282,83,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:24,485,84,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:24,688,85,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:24,891,86,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:25,78,87,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:25,282,88,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:25,485,89,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:25,688,90,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:25,891,91,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:26,79,92,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:26,282,93,68,68,67,67,66,67,67,65,72,73,72,162,0,0
1/8/2018,16:28:26,485,94,68,68,67,67,65,67,67,65,72,73,72,251,0,0
1/8/2018,16:28:26,688,95,69,68,67,67,66,67,67,65,72,73,72,143,0,0
1/8/2018,16:28:26,891,96,68,68,67,67,66,67,67,65,72,73,72,72,0,0
