Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Dark,Opto
1/8/2018,16:28:07,687,0,67,68,67,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:07,890,1,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:08,78,2,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:08,281,3,67,68,66,69,66,67,66,66,64,65,66,67,0,0
1/8/2018,16:28:08,484,4,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:08,687,5,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:08,890,6,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:09,78,7,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:09,281,8,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:09,484,9,67,68,67,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:09,687,10,67,68,67,69,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:09,890,11,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:10,78,12,67,68,66,69,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:10,280,13,67,68,66,70,120,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:10,483,14,67,68,66,70,165,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:10,686,15,67,68,66,70,120,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:10,889,16,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:11,77,17,67,68,66,69,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:11,280,18,67,68,66,69,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:11,483,19,67,68,66,70,138,67,66,66,64,65,66,67,0,0
1/8/2018,16:28:11,686,20,67,68,66,69,105,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:11,890,21,67,68,66,69,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:12,77,22,67,68,66,70,66,67,66,66,64,65,67,67,0,0
1/8/2018,16:28:12,280,23,67,68,66,70,66,67,66,66,65,65,67,67,0,0
